Name,Cmpg,Hmpg,Eng,Cyl,Vol,Drive,Class
Ford Fusion Fwd 2.5L,23,33,2.5,4,1.16,F,MI
Ford Fusion Fwd 3.5L,18,27,3.5,6,1.16,F,MI
Ford Fusion Fwd FFV 3L,20,28,3.0,6,1.17,F,MI
Ford Mustang 3.7L,19,31,3.7,6,0.96,R,SC
Ford Mustang 5L,18,25,5.0,8,0.96,R,SC
Ford Mustang Convertible 3.7L,19,30,3.7,6,0.90,R,SC
Ford Taurus Awd 3.5L,17,25,3.5,6,1.22,A,LA
Ford Taurus Fwd 3.5L,18,28,3.5,6,1.22,F,LA
Honda Accord 2DR Coupe 2.4L,22,33,2.4,4,1.04,F,CO
Honda Accord 2DR Coupe 3.5L,19,29,3.5,6,1.04,F,CO
Honda Accord 4DR Sedan 2.4L,23,34,2.4,4,1.21,F,LA
Honda Accord 4DR Sedan 3.5L,20,30,3.5,6,1.21,F,LA
Honda Civic 1.8L,25,36,1.8,4,0.96,F,SC
Hyundai Accent 1.6L,27,36,1.6,4,1.04,F,CO
Hyundai Azera 3.3L,20,28,3.3,6,1.24,F,LA
Hyundai Azera 3.8L,19,27,3.8,6,1.24,F,LA
Hyundai Elantra 1.8L,29,40,1.8,4,1.11,F,MI
Hyundai Elantra Touring 2L,23,30,2.0,4,1.29,F,SW
Hyundai Equus 4.6L,16,24,4.6,8,1.27,R,LA
Hyundai Genesis 3.8L,18,27,3.8,6,1.25,R,LA
Hyundai Genesis 4.6L,17,25,4.6,8,1.25,R,LA
Hyundai Genesis Coupe 2L,20,30,2.0,4,0.99,R,SC
Hyundai Genesis Coupe 3.8L,17,27,3.8,6,0.99,R,SC
Hyundai Sonata 2.4L,22,35,2.4,4,1.20,F,LA
Hyundai Sonata 2L,22,33,2.0,4,1.20,F,LA
Infiniti EX35 3.5L,17,24,3.5,6,1.11,R,SW
Infiniti EX35 Awd 3.5L,17,24,3.5,6,1.11,A,SW
Infiniti G25 2.5L,20,29,2.5,6,1.13,R,MI
Infiniti G25x 2.5L,19,27,2.5,6,1.13,A,MI
Infiniti G37 Convertible 3.7L,17,25,3.7,6,0.88,R,SC
Infiniti G37 Coupe 3.7L,19,27,3.7,6,0.92,R,SC
Infiniti G37x Coupe 3.7L,18,25,3.7,6,0.92,A,SC
Infiniti M37 3.7L,18,26,3.7,6,1.19,R,MI
Infiniti M37X 3.7L,17,24,3.7,6,1.19,A,MI
Infiniti M56 5.6L,16,25,5.6,8,1.19,R,MI
Infiniti M56X 5.6L,16,23,5.6,8,1.19,A,MI
Jaguar XF 5L,16,23,5.0,8,1.13,R,MI
Jaguar XJ 5L,15,21,5.0,8,1.20,R,LA
Jaguar XJ Long wheelbase 5L,15,22,5.0,8,1.20,R,LA
Jaguar XJ Short wheelbase 5L,16,23,5.0,8,1.20,R,LA
